Product Price,# of Reviews Published
0.01,1
0.01,1
0.01,27
0.01,22
0.01,2
0.01,19
0.10,31
0.11,4
0.24,6
0.28,1
0.40,12
0.41,1
0.47,4
0.49,7
0.49,3
0.49,15
0.50,25
0.53,23
0.53,6
0.55,12
0.66,1
0.67,5
0.70,9
0.73,2
0.74,6
0.74,1
0.74,1
0.75,2
0.76,5
0.78,3
0.80,23
0.81,2
0.83,2
0.85,1
0.86,148
0.88,1
0.90,2
0.94,1
0.94,2
0.95,10
0.95,1
0.95,3
0.97,5
0.97,3
0.98,1
0.98,9
0.98,6
0.99,1
0.99,9
0.99,28
0.99,2
0.99,15
0.99,1
0.99,2
0.99,3
0.99,6
0.99,2
1.00,10
1.00,3
1.00,5
1.00,2
1.00,1
1.01,6
1.05,1
1.05,3
1.07,17
1.09,3
1.11,1
1.12,5
1.13,4
1.17,1
1.21,3
1.24,7
1.25,2
1.25,13
1.26,1
1.27,1
1.27,1
1.28,7
1.29,3
1.30,4
1.33,2
1.33,210
1.36,7
1.38,89
1.39,2
1.39,10
1.44,3
1.45,3
1.45,15
1.45,4
1.47,1
1.48,1
1.49,1
1.49,20
1.49,2
1.50,8
1.50,2
1.50,11
1.50,36
1.50,2
1.50,47
1.50,2
1.59,3
1.60,1
1.60,1
1.63,1
1.64,1
1.64,22
1.65,17
1.65,2
1.68,13
1.69,1
1.69,2
1.69,20
1.69,2
1.69,1
1.69,4
1.69,1
1.70,47
1.73,10
1.74,6
1.74,2
1.74,4
1.74,2
1.75,2
1.75,18
1.75,47
1.75,3
1.75,12
1.75,1
1.75,10
1.75,2
1.75,1
1.75,16
1.75,1
1.75,2
1.75,4
1.77,3
1.77,9
1.78,7
1.79,6
1.80,9
1.83,4
1.83,6
1.86,5
1.87,2
1.88,7
1.88,7
1.88,8
1.89,2
1.89,6
1.90,21
1.90,1
1.92,1
1.92,60
1.92,173
1.93,25
1.93,1
1.94,9
1.94,3
1.94,168
1.94,1
1.95,2
1.95,1
1.95,1
1.95,1
1.95,1
1.95,13
1.96,4
1.96,1
1.96,3
1.97,1
1.97,5
1.97,3
1.98,2
1.98,55
1.98,1
1.98,3
1.98,1
1.99,1
1.99,12
1.99,1
1.99,1
1.99,18
1.99,10
1.99,11
1.99,1
1.99,220
1.99,9
1.99,15
1.99,24
1.99,49
1.99,89
1.99,2
1.99,4
1.99,25
1.99,1
1.99,6
1.99,2
1.99,11
1.99,18
1.99,1
1.99,5
1.99,5
1.99,22
1.99,407
1.99,3
1.99,27
1.99,4
1.99,5
1.99,2
1.99,4
1.99,1
1.99,2
1.99,5
1.99,19
1.99,4
1.99,1
1.99,2
1.99,8
1.99,6
1.99,427
1.99,2
1.99,20
1.99,5
1.99,14
1.99,1
1.99,3
1.99,2
1.99,58
1.99,5
1.99,484
10.00,3
10.00,3
10.00,1
10.00,113
10.00,9
10.00,183
10.00,4
10.00,2
10.00,2
10.00,2
10.00,3
10.00,1
10.00,1
10.00,1
10.00,4
10.00,1
10.00,1
10.00,1
10.00,1
10.00,1
10.00,16
10.00,7
10.00,26
10.00,1
10.00,19
10.00,6
10.00,3
10.00,1
10.00,9
10.00,1
10.00,3
10.00,54
10.00,5
10.00,6
10.00,2
10.00,76
10.00,5
10.00,39
10.00,5
10.00,4
10.00,1
10.00,2
10.00,1
10.00,8
10.00,1
10.00,31
10.00,6
10.00,1
10.00,2
10.00,1
10.00,39
10.00,2
10.00,5
10.00,1
10.00,1
10.00,3
10.00,22
10.00,1
10.00,3
10.00,2
10.00,2
10.00,9
10.00,1
10.00,1
10.00,2
10.00,43
10.00,1
10.00,4
10.00,1
10.00,3
10.00,6
10.00,10
10.00,3
10.00,4
10.00,1
10.00,8
10.00,3
10.00,24
10.00,2
10.00,11
10.00,2
10.00,1
10.00,2
10.00,2
10.00,13
10.00,2
10.00,4
10.00,224
10.00,1
10.00,1
10.00,38
10.00,7
10.00,1
10.00,42
10.00,1
10.00,5
10.00,1
10.00,1
10.00,44
10.00,1
10.00,2
10.00,42
10.00,28
10.00,59
10.00,5
10.00,1
10.00,12
10.00,2
10.00,2
10.00,16
10.00,1
10.00,5
10.00,207
10.00,3
10.00,1
10.00,32
10.00,1
10.00,1
10.00,26
10.00,1
10.00,18
10.00,5
10.00,5
10.00,1
10.00,2
10.00,12
10.00,5
10.00,1
10.00,2
10.00,1
10.00,1
10.00,2
10.00,4
10.00,17
10.00,2
10.00,12
10.00,8
10.00,1
10.00,1
10.00,3
10.00,3
10.00,122
10.00,5
10.00,4
10.00,5
10.00,88
10.00,1
10.00,4
10.00,1
10.00,31
10.00,2
10.00,33
10.00,1
10.00,1
10.00,2
10.00,3
10.00,2
10.00,1
10.00,3
10.00,868
10.00,7
10.00,3
10.00,4
10.00,6
10.00,1
10.00,24
10.00,2
10.00,3
10.00,1
10.00,11
10.00,5
10.00,20
10.00,1
10.00,2
10.00,3
10.00,39
10.00,18
10.00,28
10.00,1
10.00,39
10.00,2
10.00,136
10.00,21
10.00,1
10.01,1
10.01,4
10.01,10
10.01,3
10.01,29
10.01,23
10.01,4
10.01,1
10.01,1
10.01,2
10.01,1
10.01,1
10.01,3
10.01,1
10.01,49
10.01,2
10.01,2
10.01,87
10.01,1
10.01,35
10.01,1
10.01,3
10.01,2
10.01,3
10.01,2
10.01,1
10.01,4
10.01,2
10.01,1
10.01,4
10.01,1
10.01,24
10.01,1
10.01,1
10.01,2
10.01,1
10.01,8
10.01,43
10.01,262
10.01,1
10.01,1
10.01,1
10.01,109
10.01,3
10.01,12
10.01,2
10.01,37
10.01,1
10.01,10
10.01,2
10.01,13
10.01,2
10.01,1
10.01,2
10.01,1
10.01,1
10.01,3
10.02,3
10.02,5
10.02,46
10.02,15
10.02,1
10.02,2
10.02,96
10.02,1
10.02,2
10.02,95
10.02,2
10.02,14
10.02,1
10.02,3
10.02,39
10.02,21
10.02,2
10.02,11
10.02,1
10.02,418
10.02,6
10.02,17
10.02,1
10.02,1
10.02,20
10.02,1
10.02,18
10.02,15
10.02,1
10.02,29
10.02,4
10.02,3
10.02,11
10.02,20
10.02,55
10.02,3
10.02,6
10.02,3
10.03,20
10.03,5
10.03,8
10.03,1
10.03,28
10.03,8
10.03,2
10.03,6
10.03,2
10.03,16
10.03,3
10.03,11
10.03,3
10.03,3
10.03,8
10.03,2
10.03,1
10.03,6
10.03,2
10.03,7
10.03,1
10.03,2
10.03,2
10.03,3
10.03,7
10.03,1
10.03,3
10.03,2
10.03,1
10.03,5
10.03,9
10.03,2
10.03,16
10.03,12
10.03,3
10.03,2
10.03,1
10.03,1
10.03,5
10.03,7
10.03,311
