Num. of Reviews/product,Frequency
17675,1
7929,1
7644,1
7588,1
6817,1
6796,1
6158,1
6117,1
5936,1
5882,1
5875,1
5426,1
5368,1
4941,1
4853,1
4849,1
4845,1
4732,1
4625,1
4584,1
4462,1
4448,1
4446,1
4440,2
4438,1
4436,1
4433,2
4430,1
4429,2
4428,2
4427,1
4426,1
4425,1
4420,1
4416,1
4415,1
4411,1
4407,1
4404,1
4402,1
4400,2
4397,1
4390,1
4385,1
4373,2
4370,1
4356,1
4355,1
4350,1
4347,1
4337,1
4303,1
4293,1
4274,1
4213,1
4209,2
4207,1
4159,2
4151,1
4149,1
4148,1
4131,1
4082,1
3986,1
3968,1
3933,1
3931,1
3930,1
3929,2
3924,1
3920,1
3918,1
3917,1
3887,1
3871,1
3837,1
3822,1
3800,1
3790,1
3734,1
3634,1
3609,1
3579,1
3568,2
3455,2
3443,1
3421,1
3385,1
3364,1
3355,1
3352,1
3350,1
3300,1
3299,1
3292,1
3284,1
3282,1
3281,1
3280,3
3278,2
3275,2
3274,2
3271,1
3270,6
3260,2
3246,1
3188,1
3179,1
3160,1
3154,1
3153,1
3150,1
3147,1
3145,1
3143,1
3142,1
3137,2
3134,1
3132,5
3131,2
3130,1
3128,8
3119,1
3115,1
3112,1
3109,5
3108,1
3100,1
3091,1
3082,1
3025,1
3016,1
3014,2
3003,1
2965,1
2954,1
2948,1
2947,1
2943,1
2938,1
2916,1
2895,1
2858,1
2795,1
2794,1
2793,3
2769,1
2765,1
2737,4
2735,3
2734,1
2733,1
2725,1
2724,1
2722,1
2693,4
2691,1
2688,1
2686,1
2679,1
2673,1
2671,1
2670,1
2668,1
2667,2
2653,1
2650,2
2648,1
2596,1
2594,1
2559,1
2542,1
2538,1
2537,1
2536,1
2526,2
2522,1
2518,1
2515,1
2514,1
2513,1
2512,2
2505,1
2488,1
2479,3
2478,2
2476,1
2475,1
2474,2
2473,1
2472,1
2471,1
2470,1
2469,1
2463,2
2462,1
2460,1
2456,1
2455,1
2454,1
2448,1
2441,1
2435,1
2405,1
2404,1
2403,5
2402,2
2401,1
2396,1
2394,1
2393,4
2392,1
2389,1
2388,5
2386,1
2381,1
2378,1
2375,1
2372,1
2354,1
2342,1
2334,1
2318,1
2313,1
2304,2
2302,1
2298,1
2263,1
2258,1
2248,1
2246,2
2245,2
2242,2
2241,3
2238,1
2237,1
2236,4
2231,1
2220,2
2204,1
2203,1
2202,1
2201,1
2200,3
2199,1
2198,3
2178,1
2160,2
2156,1
2151,1
2139,1
2136,1
2134,3
2132,1
2129,3
2124,1
2122,1
2104,1
2090,2
2078,1
2076,2
2070,2
2060,2
2059,1
2057,2
2053,4
2049,1
2044,1
2043,4
2042,6
2041,28
2040,3
2039,1
2038,3
2028,3
2026,2
2024,3
2022,1
2021,1
2017,1
2015,1
2012,1
2008,1
2006,1
2001,2
2000,4
1998,1
1997,1
1996,1
1994,1
1992,3
1986,1
1982,1
1981,1
1979,1
1974,1
1973,1
1969,1
1965,1
1964,1
1963,3
1962,4
1960,2
1959,5
1958,2
1956,2
1954,1
1950,1
1949,1
1947,6
1946,1
1945,2
1942,1
1940,2
1939,1
1932,2
1931,5
1929,5
1928,8
1924,1
1921,1
1919,2
1918,1
1917,2
1915,2
1914,1
1910,6
1900,3
1897,1
1895,8
1894,4
1893,2
1892,4
1891,1
1889,2
