Num. of Reviews/product,Frequency
4159,2
4151,1
4149,1
4148,1
3455,2
2512,2
2505,1
2200,3
2198,3
2137,1
2136,1
2134,3
2132,1
2129,3
2124,1
2122,1
2090,1
2070,1
2053,4
2049,1
2026,1
1946,1
1929,4
1928,7
1867,6
1866,3
1865,1
1855,1
1820,7
1818,1
1796,2
1786,1
1755,1
1705,1
1692,1
1691,1
1589,2
1569,1
1555,1
1550,1
1547,1
1529,1
1516,1
1515,3
1505,3
1503,12
1491,1
1455,1
1436,1
1434,7
1399,3
1398,2
1393,5
1390,1
1389,1
1376,1
1361,1
1360,1
1349,3
1346,1
1341,1
1336,1
1330,4
1329,1
1328,5
1327,2
1326,1
1320,1
1306,1
1305,2
1302,1
1301,4
1298,1
1297,2
1296,1
1291,3
1290,2
1229,2
1228,2
1226,3
1224,1
1221,1
1202,1
1198,3
1197,5
1194,2
1193,1
1186,2
1155,8
1153,3
1150,1
1149,1
1148,3
1147,1
1146,1
1141,1
1136,9
1133,3
1132,1
1130,1
1128,1
1126,2
1111,4
1104,1
1099,1
1098,5
1096,2
1085,2
1083,4
1082,4
1081,1
1074,1
1070,3
1068,2
1067,1
1063,1
1057,1
1049,4
1048,1
1047,1
1040,4
1037,1
1030,1
1011,7
1008,1
1005,2
1004,1
998,1
989,3
985,4
982,4
980,1
979,3
978,4
976,2
971,3
969,4
965,2
964,3
963,1
960,1
954,2
953,1
952,2
951,2
950,2
941,3
937,8
936,5
935,3
933,1
929,1
928,4
926,2
918,2
913,4
911,1
910,1
909,2
897,2
896,3
894,1
891,4
887,2
886,2
884,3
876,1
875,1
874,1
871,1
870,2
868,3
867,2
855,6
853,1
849,6
848,4
844,2
843,3
842,1
830,2
829,1
827,1
825,4
823,2
822,3
821,1
820,2
817,1
816,2
814,1
813,2
803,3
798,1
796,5
793,1
792,4
786,1
784,2
777,2
776,3
774,1
773,2
772,2
767,1
759,4
756,2
755,1
750,6
748,1
747,1
746,5
744,4
741,3
739,1
738,2
737,1
735,5
734,3
731,1
727,1
720,1
717,4
715,2
712,3
711,2
707,1
705,1
704,5
703,8
702,1
701,2
698,13
697,1
694,7
692,5
691,2
685,1
684,9
682,7
680,9
679,1
678,4
677,2
